**********
SEMILLA 10
**********
Iteración 261	 Error de entrenamiento: 0.0759431
Iteración 262	 Error de entrenamiento: 0.0757369
Iteración 263	 Error de entrenamiento: 0.0755344
Iteración 264	 Error de entrenamiento: 0.0753363
Iteración 265	 Error de entrenamiento: 0.0751419
Iteración 266	 Error de entrenamiento: 0.0749494
Iteración 267	 Error de entrenamiento: 0.0747573
Iteración 268	 Error de entrenamiento: 0.0745647
Iteración 269	 Error de entrenamiento: 0.0743716
Iteración 270	 Error de entrenamiento: 0.0741791
Iteración 271	 Error de entrenamiento: 0.0739889
Iteración 272	 Error de entrenamiento: 0.0738023
Iteración 273	 Error de entrenamiento: 0.0736198
Iteración 274	 Error de entrenamiento: 0.0734404
Iteración 275	 Error de entrenamiento: 0.0732622
Iteración 276	 Error de entrenamiento: 0.0730832
Iteración 277	 Error de entrenamiento: 0.0729023
Iteración 278	 Error de entrenamiento: 0.072719
Iteración 279	 Error de entrenamiento: 0.0725338
Iteración 280	 Error de entrenamiento: 0.0723475
Iteración 281	 Error de entrenamiento: 0.0721621
Iteración 282	 Error de entrenamiento: 0.0719794
Iteración 283	 Error de entrenamiento: 0.0718009
Iteración 284	 Error de entrenamiento: 0.0716263
Iteración 285	 Error de entrenamiento: 0.0714544
Iteración 286	 Error de entrenamiento: 0.0712836
Iteración 287	 Error de entrenamiento: 0.0711126
Iteración 288	 Error de entrenamiento: 0.0709409
Iteración 289	 Error de entrenamiento: 0.0707694
Iteración 290	 Error de entrenamiento: 0.0705992
Iteración 291	 Error de entrenamiento: 0.0704321
Iteración 292	 Error de entrenamiento: 0.0702689
Iteración 293	 Error de entrenamiento: 0.0701091
Iteración 294	 Error de entrenamiento: 0.0699513
Iteración 295	 Error de entrenamiento: 0.0697935
Iteración 296	 Error de entrenamiento: 0.0696344
Iteración 297	 Error de entrenamiento: 0.0694731
Iteración 298	 Error de entrenamiento: 0.0693099
Iteración 299	 Error de entrenamiento: 0.0691454
Iteración 300	 Error de entrenamiento: 0.0689812
PESOS DE LA RED
===============
Vamos  a imprimir las entradas de las neuronas

Capa: 1
0.11845 0.286208 0.0961767 -0.554161 0.735992 -0.498008 0.31942 0.0339673 -0.789647 -0.190913 -0.707985 -0.668357 1.08476 1.04307 0.780697 -0.877648 -0.474377 -0.770641 0.827556 0.200696 0.423351 1.04206 1.01173 -0.604285 -0.462529 -0.45657 -0.894757 0.79287 -0.313634 0.0359854 0.0628223 0.767966 -0.679688 -0.762383 -0.729584 1.04152 -0.417188 0.386433 -0.184294 -0.446182 1.01188 -0.0504148 -0.287048 0.84224 -0.177022 -0.580782 -1.00821 0.371002 -0.309937 0.845472 -0.394004 1.03597 0.82204 -0.507703 -0.696596 -0.776932 -0.131173 -0.765194 0.849231 0.488815 0.357528 0.0364724 0.272555 0.609041 0.204364 0.521452 0.585097 0.696627 -0.148062 -0.591623 -0.771534 -0.262217 0.185533 -0.164188 -0.38853 -0.89597 0.404198 -0.302389 0.439564 -1.02569 -0.532912 1.00245 0.998189 -0.790757 -0.552893 -0.7739 -0.650056 0.215112 -0.557693 -0.720027 -0.169816 0.866818 0.354967 -0.875886 0.452625 -0.525671 0.585355 0.0383431 -0.836523 -0.560604 0.362561 -0.669728 0.117024 -0.409336 0.268031 0.883982 -0.276246 -0.343306 -0.437241 -0.872716 -0.414209 -0.0815393 -0.88972 -0.424819 0.133763 -0.47871 -0.20763 0.538179 0.866165 0.376847 0.950609 -0.297008 0.180887 0.254471 -0.223384 -0.434402 0.69688 -0.627851 0.661921 0.877538 -0.223634 0.0171247 -0.677698 -0.896556 0.759417 0.671959 0.968926 -0.532455 -0.766457 -0.537632 -0.490389 -0.228812 0.319387 -0.417431 0.455124 -0.442766 0.186352 -0.642445 -0.653899 0.218053 0.758256 -0.799844 0.839815 -0.135019 0.435733 -0.377543 0.426283 0.086256 -0.120672 0.046226 0.16523 0.856089 -0.8161 0.525785 1.02157 0.987232 0.105012 0.843717 -0.677926 0.353307 -0.723985 -0.189489 -0.879175 0.632765 0.357082 0.543753 -0.616066 -0.189725 -0.941932 -0.324409 0.932769 0.683473 -0.133375 0.774539 -0.435527 -0.70879 -0.657629 -0.979314 0.461031 0.330176 0.118637 -0.409488 0.349118 0.553044 -0.736469 0.376815 0.434266 0.341086 0.278882 0.856487 -0.280184 0.624991 -0.303283 -0.0988748 0.313754 -0.827935 -0.437147 0.772324 0.13899 -0.21276 -0.415228 0.156987 -0.493743 0.45353 -0.00139252 0.13835 0.871622 0.406459 0.145837 0.286209 -0.233831 -0.646331 -0.980057 -0.776498 -0.989028 -0.615296 0.729969 0.556466 0.800666 0.049376 0.443765 -0.413641 -0.24854 -0.867296 0.50218 -0.926878 -0.574785 -0.807013 0.982238 0.637888 0.00263377 -0.463272 -0.211393 0.502577 -0.941659 0.778339 -0.393914 0.880733 0.121212 0.804898 0.225574 1.01718 -0.749047 0.3618 -0.68853 -0.73507 Salida: 0.953465
1.12071 0.853814 0.58211 0.12199 0.197316 1.10656 0.80575 0.392018 0.583817 0.836231 0.804664 0.809229 0.877634 0.426267 -0.185815 -0.438482 -0.73747 -0.811035 -0.499739 0.861205 -0.181365 -0.679173 -0.00266389 -0.469744 0.466439 -0.0137094 -0.187684 -0.126232 0.317477 -0.0285245 -0.619982 0.0956311 -0.280482 1.00003 -0.76215 0.906765 0.947205 0.847212 0.146358 0.444992 0.650574 -0.200936 0.11157 0.336807 1.04087 0.614421 0.444809 0.881081 0.710825 0.862354 0.797104 -0.524114 -0.827404 -0.360566 -0.0697355 0.481648 0.570781 0.586841 -0.85908 -0.312032 -0.52501 -0.526172 0.648272 -0.0468302 -0.710547 0.896015 -0.184753 -0.832437 0.606417 0.958648 0.544382 0.250552 -0.337028 -0.542085 -0.600647 -0.408719 -0.917761 0.94014 -0.576859 0.571757 0.60867 -0.828857 -0.984257 0.61818 -0.271517 -0.143163 0.196401 -0.70083 -0.568422 0.237615 -0.0820257 -0.152793 0.657307 -0.336334 0.832779 0.800679 -0.682803 -0.344299 -1.02764 -0.996028 -0.381817 0.550147 0.289586 0.338167 1.0174 0.65716 0.808877 0.949348 0.46097 -0.708021 0.561383 0.020053 -0.70266 0.499585 -0.33164 0.178749 -0.349483 -0.860211 0.633879 0.195142 0.373162 -0.555372 0.822317 -0.103897 -0.034565 0.597985 -0.279001 0.251163 -0.700562 -0.384753 0.225581 0.0959817 -0.423811 -0.100329 -0.382517 -0.340296 -0.394243 -0.546409 -0.45228 0.915965 -0.43537 -0.898059 -0.110047 -0.230491 0.614936 0.647678 -1.00807 -0.593673 -0.844653 0.946992 0.684005 0.529133 -0.58031 0.446624 -0.778995 0.120971 -0.157561 -0.164521 -0.54733 0.207106 0.704337 -1.12302 -0.701005 -0.770428 -0.143597 0.0622052 -0.152475 0.293256 0.279716 0.150587 -0.0333596 0.569337 0.0293547 -1.10311 -0.414748 -0.128889 -0.99223 -0.166642 0.302821 -1.02415 -0.241685 -0.106521 0.398073 0.0521508 -0.804342 0.406473 -1.00517 -0.0514619 -0.777918 -0.528968 -0.618436 -0.887466 -0.242488 -0.0176698 -0.557631 0.533597 -1.0301 0.252373 -0.137098 0.441602 -0.606176 0.83179 -0.0644464 0.429731 0.708983 0.612679 -0.461546 0.902012 -0.263418 -0.954927 -0.967936 0.5274 -0.114948 0.295797 -0.502976 0.10256 -0.174546 -0.428365 -0.906524 0.0158442 0.108558 -0.393728 0.285393 0.982777 0.695928 0.947837 0.755184 0.887575 0.214367 -0.469589 0.119058 0.538585 -0.692155 -0.962929 -0.00353692 -0.910476 0.779566 0.633664 -0.837888 -0.37371 0.723663 -0.784642 -0.795299 -0.262337 0.605684 -0.293633 0.65994 -0.73894 0.0290323 0.730171 0.319158 -0.685733 -0.584093 -0.250185 -0.661731 -0.843224 Salida: 0.75992
0.828832 0.913207 0.633786 -0.618808 -0.0339155 0.173522 -0.258286 0.22076 -0.765262 -0.235059 -0.038202 0.847713 -0.12502 0.438914 0.474973 0.129713 0.68819 0.945574 -0.56486 1.06255 0.589356 -0.358893 0.1307 0.287752 0.82453 0.290703 0.551089 -0.520547 0.498563 0.536825 -0.150694 0.330376 0.527141 -0.343925 0.772802 -0.497442 0.440496 -0.83252 0.368312 0.502873 -0.138834 -0.718706 0.184604 0.363913 0.466495 -0.525902 -0.527035 -0.0235695 -0.582483 -0.110052 0.136161 0.974903 0.453063 -0.94137 0.249335 0.286626 0.413549 -0.18642 0.61449 -0.182187 -0.525593 -0.388727 -0.773701 -1.12614 -0.030222 0.961685 -0.587843 -0.48096 -0.903305 0.877109 -0.916519 -0.120705 -0.943404 0.235788 -0.57364 0.736424 0.907452 0.0407875 -0.352288 -0.852849 0.666055 0.775209 -0.731118 0.087909 0.75471 0.471456 -0.67902 0.061523 -0.681201 -0.867691 -0.735259 -0.00382292 -0.181181 -0.424947 -0.165736 0.596166 -0.72591 0.234701 -0.831672 -0.465439 0.198932 -0.681109 0.234114 0.288312 0.636833 0.992114 0.0627071 0.488791 -0.0752484 0.845475 0.848412 -0.42193 0.451918 -1.05758 0.679243 0.367707 0.628601 -0.79152 -0.255591 -0.725934 -0.443404 -0.127522 -0.0677668 0.129028 0.288251 0.812808 -0.0574017 0.707876 0.226008 -0.043609 -1.07493 -0.646986 0.498647 0.612552 0.936875 0.40066 0.809943 0.0611346 -0.0999622 -0.421826 -0.209747 -0.404779 0.100934 -0.750783 -0.165214 -0.0226733 -1.33503 -0.473216 0.674724 -0.167127 -0.00768533 -0.536958 0.972493 0.968151 0.337154 -0.00393663 0.636206 -0.859695 -0.350829 -0.0962923 0.536135 0.00334121 0.44317 0.0982031 -0.0785727 0.848741 -0.0969721 -0.0317985 -0.0160739 0.533602 0.300031 0.513705 -0.867027 -0.32878 -1.02167 -0.00151516 -0.831993 -0.828739 -1.14119 -1.21006 0.13799 0.0842991 -0.561199 0.173572 0.0590704 0.66475 -0.994482 -0.281906 -1.02772 -0.0937466 -1.03329 0.635434 -0.559255 -0.969626 0.279458 0.572597 -1.06414 -0.861886 -0.326013 0.111375 0.828369 -0.881264 -0.349421 -1.03106 -0.19294 -0.0494094 0.306479 0.202637 0.529888 0.701632 0.521817 0.00647586 -0.300778 0.715166 0.931014 0.792212 0.650436 -0.857971 -0.38356 0.597588 0.105076 -0.143819 0.536056 0.856547 0.141713 0.122153 0.794862 0.291483 0.368264 -0.622452 -0.794686 0.116242 -0.440084 -0.0433881 0.19956 0.548647 -0.894183 -0.0898573 0.147302 0.961401 -0.149556 -0.290192 -0.24925 0.451913 -0.503878 -0.234674 0.256313 -0.818802 -0.147975 -0.918675 0.945664 -0.771123 0.0501368 0.855317 -0.637246 -0.606115 Salida: 0.931521
