**********
SEMILLA 10
**********
Iteración 349	 Error de entrenamiento: 0.478747
Iteración 350	 Error de entrenamiento: 0.478754
Iteración 351	 Error de entrenamiento: 0.478761
Iteración 352	 Error de entrenamiento: 0.478769
Iteración 353	 Error de entrenamiento: 0.478776
Iteración 354	 Error de entrenamiento: 0.478783
Iteración 355	 Error de entrenamiento: 0.478789
Iteración 356	 Error de entrenamiento: 0.478796
Iteración 357	 Error de entrenamiento: 0.478803
Iteración 358	 Error de entrenamiento: 0.478809
Iteración 359	 Error de entrenamiento: 0.478816
Iteración 360	 Error de entrenamiento: 0.478822
Iteración 361	 Error de entrenamiento: 0.478828
Iteración 362	 Error de entrenamiento: 0.478834
Iteración 363	 Error de entrenamiento: 0.47884
Iteración 364	 Error de entrenamiento: 0.478846
Iteración 365	 Error de entrenamiento: 0.478851
Iteración 366	 Error de entrenamiento: 0.478857
Iteración 367	 Error de entrenamiento: 0.478862
Iteración 368	 Error de entrenamiento: 0.478868
Iteración 369	 Error de entrenamiento: 0.478873
Iteración 370	 Error de entrenamiento: 0.478878
Iteración 371	 Error de entrenamiento: 0.478883
Iteración 372	 Error de entrenamiento: 0.478889
Iteración 373	 Error de entrenamiento: 0.478893
Iteración 374	 Error de entrenamiento: 0.478898
Iteración 375	 Error de entrenamiento: 0.478903
Iteración 376	 Error de entrenamiento: 0.478908
Iteración 377	 Error de entrenamiento: 0.478912
Iteración 378	 Error de entrenamiento: 0.478917
Iteración 379	 Error de entrenamiento: 0.478921
Iteración 380	 Error de entrenamiento: 0.478926
Iteración 381	 Error de entrenamiento: 0.47893
Iteración 382	 Error de entrenamiento: 0.478934
Iteración 383	 Error de entrenamiento: 0.478938
Iteración 384	 Error de entrenamiento: 0.478942
Iteración 385	 Error de entrenamiento: 0.478946
Iteración 386	 Error de entrenamiento: 0.47895
Iteración 387	 Error de entrenamiento: 0.478954
Iteración 388	 Error de entrenamiento: 0.478958
Iteración 389	 Error de entrenamiento: 0.478962
Iteración 390	 Error de entrenamiento: 0.478965
Iteración 391	 Error de entrenamiento: 0.478969
Iteración 392	 Error de entrenamiento: 0.478972
Iteración 393	 Error de entrenamiento: 0.478976
Iteración 394	 Error de entrenamiento: 0.478979
Iteración 395	 Error de entrenamiento: 0.478983
Iteración 396	 Error de entrenamiento: 0.478986
Iteración 397	 Error de entrenamiento: 0.478989
Iteración 398	 Error de entrenamiento: 0.478992
Iteración 399	 Error de entrenamiento: 0.478995
Iteración 400	 Error de entrenamiento: 0.478999
Iteración 401	 Error de entrenamiento: 0.479002
Iteración 402	 Error de entrenamiento: 0.479004
Iteración 403	 Error de entrenamiento: 0.479007
Iteración 404	 Error de entrenamiento: 0.47901
Iteración 405	 Error de entrenamiento: 0.479013
Iteración 406	 Error de entrenamiento: 0.479016
Iteración 407	 Error de entrenamiento: 0.479018
Iteración 408	 Error de entrenamiento: 0.479021
Iteración 409	 Error de entrenamiento: 0.479024
