**********
SEMILLA 10
**********
-0.631985 0.194165 -0.138814 -0.953384 Salida: -nan
-0.930758 -0.829987 0.971247 0.963242 Salida: -nan
-0.887348 -0.468334 -0.811759 0.752981 Salida: -nan
0.324625 0.968373 0.915547 -0.704039 Salida: -nan
-0.548536 -0.981976 0.73546 -0.346705 Salida: -nan
0.0819976 0.808215 -0.70385 -0.852226 Salida: -nan
0.926469 -0.510286 0.319998 -0.225504 Salida: -nan
0.977418 -0.11566 -0.326338 0.940967 Salida: -nan
-2.00149 -0.344333 1.90495 -1.18035 Salida: -nan
Capa: 2
-0.423046 1.06139 0.76713 -0.450923 -0.774037 -0.713721 -0.143099 -0.64005 1.00072 0.571211 Salida: -nan
-0.00577957 0.25428 0.631074 0.0742152 0.500723 0.48796 0.66347 -0.265102 -0.719582 -0.839729 Salida: -nan
0.120441 -0.229948 -0.385501 -1.06963 0.367826 -0.442443 0.493545 -1.11944 -0.648853 0.923275 Salida: -nan
-0.892643 -0.697539 -0.819811 -0.740542 0.292417 -0.618241 -0.661795 -0.293515 0.738972 0.295076 Salida: -nan
0.415173 -0.552006 0.605854 -0.0319085 -0.842163 -0.626159 0.39888 -0.688801 0.134125 -0.438013 Salida: -nan
0.864641 -0.282592 -0.36731 -0.430844 -0.838435 -0.336837 -0.00581091 -0.831901 -0.370751 0.219349 Salida: -nan
-0.120899 0.641244 0.880867 0.396127 0.905562 -0.274467 0.192514 0.30963 -0.139253 -0.324639 Salida: -nan
-0.496371 0.768786 0.98575 -0.0513899 0.0772738 -0.607726 -0.962521 0.754865 0.659194 0.948163 Salida: -nan
-0.839336 -0.64749 -0.513822 -0.231361 0.462645 -0.395016 0.506564 -0.431095 0.185818 -0.701168 Salida: -nan
0.104399 0.402699 -0.843664 0.68301 0.104031 0.18811 -0.0607171 0.167218 -0.020545 0.325319 Salida: -nan
Capa: 3
0.647681 0.930737 -0.244122 0.98321 1.44462 1.44913 0.105655 1.33803 -0.694631 0.83227 Salida: nan
-0.216552 -0.810064 0.74427 0.71198 0.774099 -0.470992 -0.147185 -0.994258 -0.488305 1.08209 Salida: nan
-0.468633 0.841815 -0.853132 -1.26259 -1.08095 -1.48629 0.577005 0.10596 0.509384 -0.820899 Salida: nan
Salida Esperada Vs Salida Obtenida (test)
=========================================
1 -- 0.991995 \\ 0 -- 0.00800069 \\ 0 -- 4.4376e-06 \\ 
1 -- 0.991995 \\ 0 -- 0.00800069 \\ 0 -- 4.4376e-06 \\ 
1 -- 0.991995 \\ 0 -- 0.00800069 \\ 0 -- 4.4376e-06 \\ 
1 -- 0.991995 \\ 0 -- 0.00800069 \\ 0 -- 4.4376e-06 \\ 
1 -- 0.991995 \\ 0 -- 0.00800069 \\ 0 -- 4.4376e-06 \\ 
1 -- 0.991995 \\ 0 -- 0.00800069 \\ 0 -- 4.4376e-06 \\ 
1 -- 0.991995 \\ 0 -- 0.00800069 \\ 0 -- 4.4376e-06 \\ 
1 -- 0.991995 \\ 0 -- 0.00800069 \\ 0 -- 4.4376e-06 \\ 
1 -- 0.991995 \\ 0 -- 0.00800069 \\ 0 -- 4.4376e-06 \\ 
1 -- 0.991995 \\ 0 -- 0.00800069 \\ 0 -- 4.4376e-06 \\ 
1 -- 0.991995 \\ 0 -- 0.00800069 \\ 0 -- 4.4376e-06 \\ 
1 -- 0.991995 \\ 0 -- 0.00800069 \\ 0 -- 4.4376e-06 \\ 
1 -- 0.991995 \\ 0 -- 0.00800069 \\ 0 -- 4.4376e-06 \\ 
0 -- 1.02751e-160 \\ 1 -- 0.933907 \\ 0 -- 0.0660933 \\ 
0 -- 2.53349e-127 \\ 1 -- 0.974774 \\ 0 -- 0.0252263 \\ 
0 -- 8.51998e-51 \\ 1 -- 0.997375 \\ 0 -- 0.0026248 \\ 
0 -- 1.52375e-19 \\ 1 -- 0.998966 \\ 0 -- 0.00103429 \\ 
0 -- 7.0796e-272 \\ 1 -- 0.0426173 \\ 0 -- 0.957383 \\ 
0 -- 2.41432e-252 \\ 1 -- 0.24346 \\ 0 -- 0.75654 \\ 
0 -- 2.207e-186 \\ 1 -- 0.865464 \\ 0 -- 0.134536 \\ 
0 -- 7.08402e-38 \\ 1 -- 0.998214 \\ 0 -- 0.00178638 \\ 
0 -- 5.26166e-117 \\ 1 -- 0.98135 \\ 0 -- 0.01865 \\ 
0 -- 1.0047e-23 \\ 1 -- 0.998828 \\ 0 -- 0.00117161 \\ 
0 -- 1.24633e-49 \\ 1 -- 0.997465 \\ 0 -- 0.0025353 \\ 
0 -- 4.92063e-44 \\ 1 -- 0.997854 \\ 0 -- 0.00214609 \\ 
0 -- 5.28048e-318 \\ 0 -- 4.90469e-05 \\ 1 -- 0.999951 \\ 
0 -- 4.79569e-313 \\ 0 -- 8.90473e-05 \\ 1 -- 0.999911 \\ 
0 -- 3.39024e-307 \\ 0 -- 0.00018982 \\ 1 -- 0.99981 \\ 
0 -- 4.3284e-307 \\ 0 -- 0.000192516 \\ 1 -- 0.999807 \\ 
0 -- 1.3364e-274 \\ 0 -- 0.0257847 \\ 1 -- 0.974215 \\ 
0 -- 2.95849e-313 \\ 0 -- 8.67581e-05 \\ 1 -- 0.999913 \\ 
0 -- 1.1059e-296 \\ 0 -- 0.000863983 \\ 1 -- 0.999136 \\ 
0 -- 6.20823e-312 \\ 0 -- 0.000102357 \\ 1 -- 0.999898 \\ 
0 -- 1.02619e-315 \\ 0 -- 6.42722e-05 \\ 1 -- 0.999936 \\ 
0 -- 1.16249e-310 \\ 0 -- 0.000120353 \\ 1 -- 0.99988 \\ 
