**********
SEMILLA 10
**********
Iteración 476	 Error de entrenamiento: 0,0237066
Iteración 477	 Error de entrenamiento: 0,0236795
Iteración 478	 Error de entrenamiento: 0,0236531
Iteración 479	 Error de entrenamiento: 0,0236275
Iteración 480	 Error de entrenamiento: 0,0236025
Iteración 481	 Error de entrenamiento: 0,0235783
Iteración 482	 Error de entrenamiento: 0,0235547
Iteración 483	 Error de entrenamiento: 0,0235318
Iteración 484	 Error de entrenamiento: 0,0235096
Iteración 485	 Error de entrenamiento: 0,0234881
Iteración 486	 Error de entrenamiento: 0,0234672
Iteración 487	 Error de entrenamiento: 0,0234469
Iteración 488	 Error de entrenamiento: 0,0234273
Iteración 489	 Error de entrenamiento: 0,0234083
Iteración 490	 Error de entrenamiento: 0,0233899
Iteración 491	 Error de entrenamiento: 0,0233721
Iteración 492	 Error de entrenamiento: 0,0233548
Iteración 493	 Error de entrenamiento: 0,0233382
Iteración 494	 Error de entrenamiento: 0,023322
Iteración 495	 Error de entrenamiento: 0,0233064
Iteración 496	 Error de entrenamiento: 0,0232913
Iteración 497	 Error de entrenamiento: 0,0232766
Iteración 498	 Error de entrenamiento: 0,0232624
Iteración 499	 Error de entrenamiento: 0,0232486
Iteración 500	 Error de entrenamiento: 0,0232353
Iteración 501	 Error de entrenamiento: 0,0232223
Iteración 502	 Error de entrenamiento: 0,0232097
Iteración 503	 Error de entrenamiento: 0,0231974
Iteración 504	 Error de entrenamiento: 0,0231854
Iteración 505	 Error de entrenamiento: 0,0231737
Iteración 506	 Error de entrenamiento: 0,0231622
Iteración 507	 Error de entrenamiento: 0,023151
Iteración 508	 Error de entrenamiento: 0,0231399
Iteración 509	 Error de entrenamiento: 0,0231291
Iteración 510	 Error de entrenamiento: 0,0231183
Iteración 511	 Error de entrenamiento: 0,0231076
Iteración 512	 Error de entrenamiento: 0,023097
Iteración 513	 Error de entrenamiento: 0,0230865
Iteración 514	 Error de entrenamiento: 0,0230759
Iteración 515	 Error de entrenamiento: 0,0230653
