**********
SEMILLA 10
**********
Iteración 505	 Error de entrenamiento: 0,0452747
Iteración 506	 Error de entrenamiento: 0,0452697
Iteración 507	 Error de entrenamiento: 0,0452647
Iteración 508	 Error de entrenamiento: 0,0452595
Iteración 509	 Error de entrenamiento: 0,0452543
Iteración 510	 Error de entrenamiento: 0,0452489
Iteración 511	 Error de entrenamiento: 0,0452434
Iteración 512	 Error de entrenamiento: 0,0452378
Iteración 513	 Error de entrenamiento: 0,0452321
Iteración 514	 Error de entrenamiento: 0,0452263
Iteración 515	 Error de entrenamiento: 0,0452203
Iteración 516	 Error de entrenamiento: 0,0452142
Iteración 517	 Error de entrenamiento: 0,045208
Iteración 518	 Error de entrenamiento: 0,0452017
Iteración 519	 Error de entrenamiento: 0,0451952
Iteración 520	 Error de entrenamiento: 0,0451886
Iteración 521	 Error de entrenamiento: 0,0451818
Iteración 522	 Error de entrenamiento: 0,045175
Iteración 523	 Error de entrenamiento: 0,045168
Iteración 524	 Error de entrenamiento: 0,0451608
Iteración 525	 Error de entrenamiento: 0,0451535
Iteración 526	 Error de entrenamiento: 0,0451461
Iteración 527	 Error de entrenamiento: 0,0451385
Iteración 528	 Error de entrenamiento: 0,0451308
Iteración 529	 Error de entrenamiento: 0,0451229
Iteración 530	 Error de entrenamiento: 0,0451149
Iteración 531	 Error de entrenamiento: 0,0451068
Iteración 532	 Error de entrenamiento: 0,0450985
Iteración 533	 Error de entrenamiento: 0,04509
Iteración 534	 Error de entrenamiento: 0,0450814
Iteración 535	 Error de entrenamiento: 0,0450726
Iteración 536	 Error de entrenamiento: 0,0450637
Iteración 537	 Error de entrenamiento: 0,0450546
Iteración 538	 Error de entrenamiento: 0,0450453
Iteración 539	 Error de entrenamiento: 0,0450359
Iteración 540	 Error de entrenamiento: 0,0450263
Iteración 541	 Error de entrenamiento: 0,0450166
Iteración 542	 Error de entrenamiento: 0,0450067
Iteración 543	 Error de entrenamiento: 0,0449966
Iteración 544	 Error de entrenamiento: 0,0449864
Iteración 545	 Error de entrenamiento: 0,044976
Iteración 546	 Error de entrenamiento: 0,0449654
Iteración 547	 Error de entrenamiento: 0,0449547
Iteración 548	 Error de entrenamiento: 0,0449438
Iteración 549	 Error de entrenamiento: 0,0449327
Iteración 550	 Error de entrenamiento: 0,0449214
Iteración 551	 Error de entrenamiento: 0,0449099
Iteración 552	 Error de entrenamiento: 0,0448983
Iteración 553	 Error de entrenamiento: 0,0448865
Iteración 554	 Error de entrenamiento: 0,0448745
Iteración 555	 Error de entrenamiento: 0,0448624
Iteración 556	 Error de entrenamiento: 0,04485
Iteración 557	 Error de entrenamiento: 0,0448375
Iteración 558	 Error de entrenamiento: 0,0448247
Iteración 559	 Error de entrenamiento: 0,0448118
Iteración 560	 Error de entrenamiento: 0,0447987
