**********
SEMILLA 10
**********
Iteración 205	 Error de entrenamiento: 0.0960038
Iteración 206	 Error de entrenamiento: 0.095672
Iteración 207	 Error de entrenamiento: 0.0953423
Iteración 208	 Error de entrenamiento: 0.0950145
Iteración 209	 Error de entrenamiento: 0.0946887
Iteración 210	 Error de entrenamiento: 0.0943649
Iteración 211	 Error de entrenamiento: 0.094043
Iteración 212	 Error de entrenamiento: 0.093723
Iteración 213	 Error de entrenamiento: 0.0934051
Iteración 214	 Error de entrenamiento: 0.093089
Iteración 215	 Error de entrenamiento: 0.0927749
Iteración 216	 Error de entrenamiento: 0.0924627
Iteración 217	 Error de entrenamiento: 0.0921524
Iteración 218	 Error de entrenamiento: 0.091844
Iteración 219	 Error de entrenamiento: 0.0915375
Iteración 220	 Error de entrenamiento: 0.0912329
Iteración 221	 Error de entrenamiento: 0.0909301
Iteración 222	 Error de entrenamiento: 0.0906293
Iteración 223	 Error de entrenamiento: 0.0903302
Iteración 224	 Error de entrenamiento: 0.090033
Iteración 225	 Error de entrenamiento: 0.0897377
Iteración 226	 Error de entrenamiento: 0.0894441
Iteración 227	 Error de entrenamiento: 0.0891524
Iteración 228	 Error de entrenamiento: 0.0888625
Iteración 229	 Error de entrenamiento: 0.0885743
Iteración 230	 Error de entrenamiento: 0.0882879
Iteración 231	 Error de entrenamiento: 0.0880033
Iteración 232	 Error de entrenamiento: 0.0877204
Iteración 233	 Error de entrenamiento: 0.0874393
Iteración 234	 Error de entrenamiento: 0.0871598
Iteración 235	 Error de entrenamiento: 0.0868821
Iteración 236	 Error de entrenamiento: 0.086606
Iteración 237	 Error de entrenamiento: 0.0863316
Iteración 238	 Error de entrenamiento: 0.0860589
Iteración 239	 Error de entrenamiento: 0.0857877
Iteración 240	 Error de entrenamiento: 0.0855182
Iteración 241	 Error de entrenamiento: 0.0852503
Iteración 242	 Error de entrenamiento: 0.084984
Iteración 243	 Error de entrenamiento: 0.0847192
Iteración 244	 Error de entrenamiento: 0.084456
Iteración 245	 Error de entrenamiento: 0.0841943
Iteración 246	 Error de entrenamiento: 0.0839341
Iteración 247	 Error de entrenamiento: 0.0836754
Iteración 248	 Error de entrenamiento: 0.0834182
Iteración 249	 Error de entrenamiento: 0.0831624
Iteración 250	 Error de entrenamiento: 0.082908
Iteración 251	 Error de entrenamiento: 0.0826551
Iteración 252	 Error de entrenamiento: 0.0824035
Iteración 253	 Error de entrenamiento: 0.0821533
Iteración 254	 Error de entrenamiento: 0.0819044
Iteración 255	 Error de entrenamiento: 0.0816569
Iteración 256	 Error de entrenamiento: 0.0814107
Iteración 257	 Error de entrenamiento: 0.0811657
Iteración 258	 Error de entrenamiento: 0.080922
Iteración 259	 Error de entrenamiento: 0.0806796
Iteración 260	 Error de entrenamiento: 0.0804384
Iteración 261	 Error de entrenamiento: 0.0801984
Iteración 262	 Error de entrenamiento: 0.0799595
Iteración 263	 Error de entrenamiento: 0.0797219
Iteración 264	 Error de entrenamiento: 0.0794854
Iteración 265	 Error de entrenamiento: 0.07925
Iteración 266	 Error de entrenamiento: 0.0790157
Iteración 267	 Error de entrenamiento: 0.0787825
Iteración 268	 Error de entrenamiento: 0.0785504
Iteración 269	 Error de entrenamiento: 0.0783193
Iteración 270	 Error de entrenamiento: 0.0780892
Iteración 271	 Error de entrenamiento: 0.0778602
Iteración 272	 Error de entrenamiento: 0.0776322
Iteración 273	 Error de entrenamiento: 0.0774052
Iteración 274	 Error de entrenamiento: 0.0771791
Iteración 275	 Error de entrenamiento: 0.076954
Iteración 276	 Error de entrenamiento: 0.0767299
Iteración 277	 Error de entrenamiento: 0.0765066
Iteración 278	 Error de entrenamiento: 0.0762843
Iteración 279	 Error de entrenamiento: 0.0760629
Iteración 280	 Error de entrenamiento: 0.0758424
Iteración 281	 Error de entrenamiento: 0.0756227
Iteración 282	 Error de entrenamiento: 0.0754039
Iteración 283	 Error de entrenamiento: 0.075186
Iteración 284	 Error de entrenamiento: 0.0749689
Iteración 285	 Error de entrenamiento: 0.0747526
Iteración 286	 Error de entrenamiento: 0.0745372
Iteración 287	 Error de entrenamiento: 0.0743226
Iteración 288	 Error de entrenamiento: 0.0741087
Iteración 289	 Error de entrenamiento: 0.0738957
Iteración 290	 Error de entrenamiento: 0.0736835
Iteración 291	 Error de entrenamiento: 0.073472
Iteración 292	 Error de entrenamiento: 0.0732613
Iteración 293	 Error de entrenamiento: 0.0730514
Iteración 294	 Error de entrenamiento: 0.0728422
Iteración 295	 Error de entrenamiento: 0.0726337
Iteración 296	 Error de entrenamiento: 0.0724261
Iteración 297	 Error de entrenamiento: 0.0722191
Iteración 298	 Error de entrenamiento: 0.0720129
Iteración 299	 Error de entrenamiento: 0.0718074
Iteración 300	 Error de entrenamiento: 0.0716026
PESOS DE LA RED
===============
Vamos  a imprimir las entradas de las neuronas

Capa: 1
0.16255 0.218646 0.0154071 -0.617963 0.670279 -0.599145 0.192976 -0.132682 -0.918573 -0.351189 -0.864169 -0.831821 0.932033 0.919253 0.694943 -0.966167 -0.555428 -0.7977 0.77643 0.137017 0.334672 0.961933 0.89869 -0.736783 -0.580521 -0.569449 -0.971425 0.748074 -0.316468 0.104914 0.158491 0.846529 -0.694247 -0.909322 -0.879738 0.890983 -0.533377 0.291288 -0.238325 -0.469575 0.93769 -0.106562 -0.286973 0.945664 -0.0987436 -0.465517 -0.8994 0.459356 -0.311123 0.739114 -0.53342 0.956665 0.713644 -0.573103 -0.74377 -0.810419 -0.136532 -0.709926 0.951073 0.574852 0.429367 0.124953 0.415817 0.720789 0.20305 0.413361 0.505886 0.61609 -0.21912 -0.677539 -0.804122 -0.229763 0.25334 -0.0380254 -0.275615 -0.854053 0.424127 -0.260507 0.556967 -0.923656 -0.49569 0.916271 0.879421 -0.842242 -0.618318 -0.800253 -0.602921 0.333388 -0.43301 -0.60292 -0.112842 0.888052 0.392789 -0.8158 0.52306 -0.423261 0.663619 -0.00333599 -0.900313 -0.638739 0.298221 -0.676627 0.202893 -0.334696 0.321777 0.902974 -0.264836 -0.350208 -0.44685 -0.808597 -0.339078 0.0567793 -0.803951 -0.396889 0.192727 -0.449523 -0.180073 0.646497 0.910804 0.393607 0.987069 -0.258346 0.210565 0.255363 -0.190236 -0.354442 0.790218 -0.52205 0.727801 0.984212 -0.110655 0.0788262 -0.648175 -0.917707 0.714381 0.615365 0.933192 -0.594153 -0.74237 -0.518156 -0.439218 -0.111894 0.446774 -0.257442 0.534342 -0.279521 0.333892 -0.62643 -0.71308 0.123902 0.648373 -0.86195 0.769811 -0.18666 0.424688 -0.3679 0.530934 0.26278 0.0805455 0.224428 0.190755 1.01682 -0.632748 0.551457 0.989282 0.946644 0.107994 0.892155 -0.68598 0.324709 -0.67504 -0.102221 -0.738445 0.846465 0.645069 0.771339 -0.558493 -0.0748466 -0.841297 -0.24063 0.989382 0.726079 -0.112979 0.785821 -0.431997 -0.690364 -0.573098 -0.900994 0.580874 0.536268 0.343528 -0.209162 0.426443 0.596303 -0.653754 0.475754 0.525219 0.415435 0.315366 0.832116 -0.264893 0.651276 -0.259378 -0.0242108 0.457816 -0.623086 -0.227879 0.92928 0.193053 -0.198771 -0.376375 0.174149 -0.455211 0.488599 -0.0171156 0.0994425 0.7998 0.40008 0.193276 0.376401 -0.0864818 -0.493753 -0.842762 -0.655968 -0.954319 -0.59808 0.724894 0.532773 0.794934 0.0368773 0.401355 -0.460877 -0.324005 -0.884231 0.508058 -0.865781 -0.53597 -0.77031 1.02327 0.640542 -0.0157612 -0.421605 -0.221502 0.481005 -0.950469 0.734468 -0.389136 0.867383 0.137789 0.773243 0.211608 1.00205 -0.748592 0.326441 -0.686557 -0.74411 Salida: 0.970369
0.997653 0.823075 0.542196 0.073516 0.230867 1.07139 0.739502 0.32922 0.59351 0.861812 0.810731 0.789616 0.792286 0.311419 -0.322111 -0.693789 -1.00807 -0.812647 -0.601784 0.783414 -0.316649 -0.798035 -0.095643 -0.498354 0.430328 -0.0646869 -0.246297 -0.24652 0.158202 -0.0622053 -0.563019 0.246138 -0.238493 0.879452 -0.873268 0.779204 0.800545 0.763877 0.0108237 0.26154 0.456206 -0.354586 0.0244089 0.301071 1.00439 0.64765 0.592255 1.07346 0.801122 0.817447 0.715093 -0.633494 -0.969141 -0.415973 -0.200796 0.341448 0.441939 0.528274 -0.89899 -0.291538 -0.498043 -0.444213 0.812013 0.198323 -0.593776 0.827546 -0.162215 -0.840423 0.632065 0.889425 0.440341 0.158662 -0.332052 -0.500115 -0.547666 -0.357254 -0.875388 0.946507 -0.467814 0.755409 0.791312 -0.837302 -0.950786 0.684693 -0.204875 -0.101884 0.142776 -0.652095 -0.508614 0.263841 -0.0565913 -0.121076 0.655234 -0.41631 0.857133 0.997059 -0.496962 -0.273193 -0.957705 -0.945754 -0.344016 0.570714 0.316968 0.367259 1.05632 0.689739 0.813775 0.956302 0.458357 -0.775596 0.620059 0.208251 -0.47507 0.676167 -0.115269 0.21807 -0.344725 -0.878856 0.617107 0.122552 0.321997 -0.560591 0.808166 -0.147433 -0.0743013 0.608715 -0.267883 0.424017 -0.533227 -0.174087 0.429297 0.1038 -0.504532 -0.208324 -0.554979 -0.543554 -0.594287 -0.737744 -0.602999 0.83371 -0.502624 -0.961985 -0.00727964 -0.0502168 0.765697 0.932212 -0.79181 -0.599513 -1.02013 0.695754 0.3416 0.151838 -0.926093 0.187021 -0.946582 0.0714189 -0.103109 -0.110649 -0.432562 0.420928 0.843198 -0.874178 -0.400991 -0.674538 -0.202309 -0.106508 -0.382472 0.0883428 0.076813 0.0108766 -0.0887206 0.620612 0.152822 -0.958556 -0.219381 0.0537625 -0.916241 0.0642219 0.530078 -0.872917 -0.218768 -0.184225 0.259418 -0.143561 -0.953646 0.328933 -0.972328 0.0195913 -0.718749 -0.36378 -0.459504 -0.686045 -0.137289 0.183145 -0.39161 0.678445 -0.917295 0.246215 -0.188019 0.236108 -0.670386 0.793652 0.0166587 0.553865 0.867112 0.663313 -0.375991 1.03672 -0.198887 -0.897471 -0.897831 0.537876 -0.087768 0.376234 -0.475742 0.0891865 -0.17848 -0.400885 -0.821267 0.120652 0.180872 -0.357503 0.350438 1.0416 0.759316 0.896853 0.658973 0.842908 0.173191 -0.471313 0.245604 0.637392 -0.550532 -0.763511 0.165606 -0.766689 0.831766 0.630515 -0.874421 -0.407726 0.673899 -0.871167 -0.896853 -0.376886 0.521425 -0.375137 0.701555 -0.708475 0.108 0.773834 0.325827 -0.718706 -0.624278 -0.374898 -0.784549 -0.934302 Salida: 0.110199
0.878825 0.849964 0.557386 -0.729025 -0.0738033 0.0274196 -0.469561 0.0173888 -0.89803 -0.302085 -0.159769 0.723461 -0.202162 0.386461 0.362665 -0.105675 0.459572 0.921872 -0.64292 0.973764 0.500875 -0.466885 0.0366324 0.233791 0.828497 0.308953 0.609297 -0.520809 0.578353 0.708761 -0.0523164 0.418154 0.539909 -0.539142 0.63004 -0.608501 0.441458 -0.874764 0.407174 0.525555 -0.182779 -0.761352 0.246417 0.609656 0.613985 -0.417267 -0.484393 0.084148 -0.497041 -0.17291 -0.00771676 0.93556 0.324834 -0.946461 0.221552 0.2187 0.387475 -0.128018 0.72629 -0.0348881 -0.47089 -0.361085 -0.667818 -0.952059 0.0519252 0.941301 -0.580246 -0.53336 -0.949083 0.854974 -0.921409 -0.0713345 -0.846196 0.342208 -0.435812 0.760242 0.927058 0.0517018 -0.206428 -0.675214 0.78364 0.79052 -0.714508 0.168924 0.852041 0.578919 -0.550172 0.312264 -0.559522 -0.840073 -0.792271 -0.0668072 -0.25263 -0.485134 -0.0654638 0.727272 -0.629792 0.350392 -0.721719 -0.526614 0.26847 -0.569038 0.505184 0.44466 0.744062 0.978593 0.100801 0.56791 -0.0549491 0.870144 0.869954 -0.299726 0.596047 -0.841441 0.907391 0.497588 0.77702 -0.575755 -0.171737 -0.756604 -0.431984 -0.00960753 0.100887 0.248769 0.44333 0.988594 -0.022541 0.784521 0.314705 0.236541 -0.710021 -0.40261 0.696805 0.80726 0.981952 0.347011 0.73549 0.0863465 -0.0558766 -0.298753 -0.0721598 -0.206994 0.40268 -0.497179 -0.054194 0.298346 -1.01139 -0.261481 0.760384 -0.159929 -0.0969489 -0.753501 0.765295 0.95457 0.462159 0.188775 0.958916 -0.532068 0.0269442 0.287753 0.727838 0.305825 0.84439 0.408286 0.158642 0.884257 -0.236045 -0.12464 -0.0681343 0.638728 0.53727 0.837503 -0.58434 -0.0512486 -0.613268 0.408259 -0.657683 -0.600184 -0.90913 -0.942624 0.27705 0.0533392 -0.676724 0.0448117 0.0177859 0.778781 -0.785532 -0.0333835 -0.764405 0.229542 -0.735507 0.976286 -0.384152 -0.852784 0.356844 0.726402 -0.97852 -0.875187 -0.35107 -0.0202582 0.786764 -0.82059 -0.185917 -0.802731 0.137696 0.196333 0.6224 0.467008 0.645899 0.744772 0.510076 -0.114894 -0.237971 0.809257 0.914858 0.803539 0.611066 -0.837819 -0.221222 0.851991 0.409962 0.0489881 0.809027 1.00293 0.200179 0.23047 0.77888 0.259928 0.357234 -0.578227 -0.769726 0.122298 -0.426766 0.0423515 0.358237 0.728121 -0.735797 -0.019978 0.184085 0.873492 -0.302676 -0.319571 -0.222177 0.495471 -0.490085 -0.292365 0.274633 -0.913112 -0.1478 -0.91481 0.963389 -0.71293 0.148543 0.800903 -0.710705 -0.672528 Salida: 0.999253
0.994628 0.564451 -0.702789 -0.551269 0.773392 0.415521 -0.030583 -0.250037 -0.318787 -0.43204 -0.101186 0.540788 0.687142 -0.276795 -0.741676 -0.605407 0.546422 0.778282 -0.0845334 -0.772149 0.0361025 -0.0247551 0.0240918 0.000871152 -0.154508 0.249722 -0.819085 -0.271849 0.607424 -0.435102 0.654949 0.586792 -0.955666 0.848946 0.918815 0.692008 0.176532 -0.211738 -0.615911 0.853451 0.507028 0.466406 0.555527 0.335693 -0.694169 0.876743 0.748333 0.822657 0.598351 -0.41455 -1.0307 -0.409532 0.536249 0.0779389 0.693842 -0.394963 -0.439583 1.00959 0.35546 -0.817242 -0.431272 0.00448079 0.701431 -0.48868 -0.192455 0.554117 -0.883241 -1.09836 -0.582687 -0.308778 0.950095 -0.915778 -0.727238 0.558895 0.453023 -0.393573 0.424982 0.170995 -0.621155 -0.0470137 0.692493 -0.730612 0.392584 0.192087 0.455201 0.302007 0.950664 -0.902893 0.386692 0.35251 -0.765684 0.912406 -0.716376 0.931022 -0.581286 0.0406844 0.420675 -0.524631 -0.106505 -1.10806 0.313971 0.0205662 -0.9391 0.648257 -0.362172 0.505124 -0.814511 0.99014 -0.400708 -0.447162 -0.0414887 -0.76577 -0.222625 -0.60584 0.57002 -0.599032 0.898696 0.668417 -0.514283 0.29826 0.0206066 -0.275421 0.0873198 0.208962 -0.482376 0.46123 -0.756371 0.916255 -0.987137 0.218255 0.905939 0.441228 -0.561539 -0.893516 0.162438 0.096376 0.640233 0.306863 0.0512007 -0.795674 0.737717 0.86609 -0.643449 -0.567018 -0.671924 -0.965113 -0.0796693 -0.700099 0.799167 0.502478 0.574869 -0.187412 -0.82898 -0.322428 1.0006 -0.359301 -0.928752 -0.842984 -0.500094 -1.02101 0.373153 -0.476858 0.511972 0.893959 -0.339092 -0.304885 -0.078222 -0.763862 0.88679 0.795955 -0.756155 0.545899 0.644407 -0.37142 -0.921729 -0.979402 -0.309548 0.113314 -0.599201 -0.456209 -0.397945 0.920858 0.296742 -0.288988 -0.487975 0.135575 0.17142 -0.523606 0.288071 0.732055 -0.404164 -0.232806 -0.692571 -0.771671 -0.279204 -0.0188299 -0.179719 0.580152 0.144852 -0.301728 0.338296 0.285179 -0.872966 -0.0825249 -1.02372 -0.702987 0.079323 -0.217956 0.420002 0.480598 0.344764 0.997212 0.342068 -0.409218 -0.377765 0.84887 0.699102 0.767652 -0.726112 -0.0457931 0.520856 -0.0802725 0.859209 0.963622 0.156623 -0.461108 -0.0915773 0.938823 -0.948565 0.954298 -0.451209 0.33943 0.255156 -0.311024 -0.684968 0.263955 0.00787827 0.434226 -0.846923 -0.501178 -0.128702 0.350521 -0.613254 -0.85348 0.859239 -0.048556 0.902411 0.578499 -0.252925 -0.696657 -0.364272 -0.633436 0.21227 -0.54504 -0.731752 -0.654975 Salida: 0.866503
