**********
SEMILLA 10
**********
Iteración 351	 Error de entrenamiento: 0,00937555
Iteración 352	 Error de entrenamiento: 0,00931523
Iteración 353	 Error de entrenamiento: 0,00925629
Iteración 354	 Error de entrenamiento: 0,00919872
Iteración 355	 Error de entrenamiento: 0,00914249
Iteración 356	 Error de entrenamiento: 0,00908757
Iteración 357	 Error de entrenamiento: 0,00903393
Iteración 358	 Error de entrenamiento: 0,00898156
Iteración 359	 Error de entrenamiento: 0,00893042
Iteración 360	 Error de entrenamiento: 0,00888048
Iteración 361	 Error de entrenamiento: 0,00883171
Iteración 362	 Error de entrenamiento: 0,0087841
Iteración 363	 Error de entrenamiento: 0,0087376
Iteración 364	 Error de entrenamiento: 0,00869219
Iteración 365	 Error de entrenamiento: 0,00864784
Iteración 366	 Error de entrenamiento: 0,00860453
Iteración 367	 Error de entrenamiento: 0,00856222
Iteración 368	 Error de entrenamiento: 0,00852089
Iteración 369	 Error de entrenamiento: 0,0084805
Iteración 370	 Error de entrenamiento: 0,00844103
Iteración 371	 Error de entrenamiento: 0,00840246
Iteración 372	 Error de entrenamiento: 0,00836475
Iteración 373	 Error de entrenamiento: 0,00832789
Iteración 374	 Error de entrenamiento: 0,00829183
Iteración 375	 Error de entrenamiento: 0,00825657
Iteración 376	 Error de entrenamiento: 0,00822206
Iteración 377	 Error de entrenamiento: 0,0081883
Iteración 378	 Error de entrenamiento: 0,00815524
Iteración 379	 Error de entrenamiento: 0,00812288
Iteración 380	 Error de entrenamiento: 0,00809118
Iteración 381	 Error de entrenamiento: 0,00806013
Iteración 382	 Error de entrenamiento: 0,0080297
Iteración 383	 Error de entrenamiento: 0,00799988
Iteración 384	 Error de entrenamiento: 0,00797063
Iteración 385	 Error de entrenamiento: 0,00794195
Iteración 386	 Error de entrenamiento: 0,0079138
Iteración 387	 Error de entrenamiento: 0,00788618
Iteración 388	 Error de entrenamiento: 0,00785906
Iteración 389	 Error de entrenamiento: 0,00783243
Iteración 390	 Error de entrenamiento: 0,00780626
Iteración 391	 Error de entrenamiento: 0,00778055
Iteración 392	 Error de entrenamiento: 0,00775527
Iteración 393	 Error de entrenamiento: 0,00773042
Iteración 394	 Error de entrenamiento: 0,00770597
Iteración 395	 Error de entrenamiento: 0,0076819
Iteración 396	 Error de entrenamiento: 0,00765822
Iteración 397	 Error de entrenamiento: 0,0076349
Iteración 398	 Error de entrenamiento: 0,00761192
Iteración 399	 Error de entrenamiento: 0,00758928
Iteración 400	 Error de entrenamiento: 0,00756697
Iteración 401	 Error de entrenamiento: 0,00754496
Iteración 402	 Error de entrenamiento: 0,00752326
Iteración 403	 Error de entrenamiento: 0,00750185
Iteración 404	 Error de entrenamiento: 0,00748071
Iteración 405	 Error de entrenamiento: 0,00745984
Iteración 406	 Error de entrenamiento: 0,00743922
Iteración 407	 Error de entrenamiento: 0,00741886
Iteración 408	 Error de entrenamiento: 0,00739873
Iteración 409	 Error de entrenamiento: 0,00737882
Iteración 410	 Error de entrenamiento: 0,00735914
Iteración 411	 Error de entrenamiento: 0,00733967
Iteración 412	 Error de entrenamiento: 0,00732039
Iteración 413	 Error de entrenamiento: 0,00730131
Iteración 414	 Error de entrenamiento: 0,00728242
Iteración 415	 Error de entrenamiento: 0,0072637
Iteración 416	 Error de entrenamiento: 0,00724515
Iteración 417	 Error de entrenamiento: 0,00722676
Iteración 418	 Error de entrenamiento: 0,00720853
Iteración 419	 Error de entrenamiento: 0,00719044
Iteración 420	 Error de entrenamiento: 0,00717249
Iteración 421	 Error de entrenamiento: 0,00715468
Iteración 422	 Error de entrenamiento: 0,007137
Iteración 423	 Error de entrenamiento: 0,00711943
